current_date,inside,weapon,post,lat,lon,dist_center,day_period,crime_type,neighborhood_lat,neighborhood_lon,district_lat,district_lon,common_dist
2014-05-28 14:00:00,0,0,412.0,39.32836,-76.60051,2.662137273630151,5,11,39.32447768817204,-76.60684505376345,39.33762689962533,-76.5666633515134,0.0
2013-10-22 19:50:00,0,0,221.0,39.29499,-76.58067,3.31182410766803,7,2,39.2965552559727,-76.58009726962457,39.28954494317715,-76.57517554868063,1.0
2015-11-25 01:48:00,0,4,532.0,39.34459,-76.65908,5.571241081703727,1,51,39.34699093023255,-76.66434116279069,39.33824599049766,-76.6227167386246,0.0
2011-07-29 07:13:00,1,0,632.0,39.35721,-76.68307,8.01847130190614,3,15,39.35599826589596,-76.69229919075144,39.340550095447526,-76.68238401277931,1.0
2012-04-17 12:09:00,1,4,733.0,39.31183,-76.64464,2.545288511020327,5,14,39.31139357954545,-76.64215943181819,39.30325811828833,-76.6475476693083,0.0
2011-04-23 09:06:00,1,0,425.0,39.35437,-76.54233,8.182710896094363,4,1,39.35539420289855,-76.53785,39.33762689962533,-76.5666633515134,1.0
2015-11-18 21:00:00,0,0,514.0,39.31645,-76.61694,1.0055516852771311,8,2,39.3158843956044,-76.61717098901099,39.33824599049766,-76.6227167386246,1.0
2015-10-13 15:30:00,0,0,931.0,39.28754,-76.63748,2.9082690291806306,6,2,39.28707966666666,-76.63360373333335,39.26376186739272,-76.62165641425072,1.0
2016-04-26 22:00:00,0,0,913.0,39.2325,-76.5948,8.528769603361866,8,11,39.23384687782806,-76.60312712669683,39.26376186739272,-76.62165641425072,0.0
2015-07-24 23:30:00,1,0,942.0,39.27417,-76.61345,3.708318496445038,8,15,39.27156450450452,-76.61404621621621,39.26376186739272,-76.62165641425072,1.0
2015-08-11 00:20:00,1,1,312.0,39.29883,-76.61042,1.0594507726824296,1,21,39.2969075531915,-76.6091160638298,39.30589038784177,-76.5943316483982,1.0
2011-06-11 14:17:00,0,1,524.0,39.3479,-76.6048,4.592152051082266,5,21,39.35028826086956,-76.60766934782609,39.33824599049766,-76.6227167386246,1.0
2015-12-27 21:00:00,1,0,432.0,39.32056,-76.56525,4.571470921233248,8,15,39.320888623853214,-76.56871396024464,39.33762689962533,-76.5666633515134,1.0
2016-03-14 17:36:00,0,4,0.2,41.61315,-76.54015,256.5319752601641,6,11,39.30153261744967,-76.55491778523489,39.28954494317715,-76.57517554868063,0.0
2014-05-07 17:45:00,0,0,221.0,39.29515,-76.57855,3.471270087736542,6,2,39.2965552559727,-76.58009726962457,39.28954494317715,-76.57517554868063,1.0
2012-12-26 19:10:00,0,0,343.0,39.30975,-76.59514,1.7795290695295487,7,2,39.30793951965065,-76.59947759825327,39.30589038784177,-76.5943316483982,1.0
2014-07-06 09:00:00,1,0,641.0,39.32073,-76.67753,5.5291699569621935,4,2,39.31737911111112,-76.67857622222222,39.340550095447526,-76.68238401277931,1.0
2016-05-07 14:30:00,1,0,222.0,39.29246,-76.57907,3.5603391651336844,5,15,39.2928949122807,-76.57479923976608,39.28954494317715,-76.57517554868063,1.0
2016-07-24 03:01:00,0,1,111.0,39.29282,-76.62114,1.69749026756483,2,21,39.29085047974414,-76.615084445629,39.29873684383431,-76.620764340225,1.0
2013-05-29 23:51:00,0,0,623.0,39.3375,-76.70131,8.095520940613511,8,11,39.33825193548388,-76.7028606451613,39.340550095447526,-76.68238401277931,0.0
2016-09-09 17:30:00,1,0,141.0,39.30114,-76.61426,0.7133682625355772,6,1,39.30316344827587,-76.61626601532566,39.29873684383431,-76.620764340225,1.0
2012-05-26 18:00:00,0,0,632.0,39.35524,-76.6952,8.667376447533838,7,11,39.35599826589596,-76.69229919075144,39.340550095447526,-76.68238401277931,0.0
2013-12-19 13:00:00,1,2,433.0,39.30766,-76.55518,5.200454607110869,5,32,39.30576740000001,-76.55227259999998,39.33762689962533,-76.5666633515134,0.0
2014-03-20 17:30:00,1,0,413.0,39.34508,-76.59938,4.41019537141744,6,1,39.3646397080292,-76.59525270072993,39.33762689962533,-76.5666633515134,1.0
2014-08-17 07:00:00,0,0,512.0,39.3193,-76.61845,1.3385352062908886,3,2,39.32345123809524,-76.6161583809524,39.33824599049766,-76.6227167386246,1.0
2012-04-28 17:00:00,1,0,412.0,39.32935,-76.59902,2.821410222845789,6,15,39.33269582938389,-76.59684232227488,39.33762689962533,-76.5666633515134,1.0
2016-06-22 04:35:00,1,0,932.0,39.28203,-76.63358,3.2247989871082376,2,15,39.28210885448916,-76.63259191950465,39.26376186739272,-76.62165641425072,1.0
2013-02-20 23:00:00,1,0,321.0,39.29529,-76.59129,2.493002339057083,8,31,39.29564672619048,-76.5947344047619,39.30589038784177,-76.5943316483982,0.0
2012-12-03 10:30:00,1,0,342.0,39.3163,-76.5991,1.7270364211890366,4,15,39.32381198312236,-76.60209447257384,39.30589038784177,-76.5943316483982,1.0
2013-12-22 10:45:00,1,1,641.0,39.32386,-76.68902,6.5752274595478,4,21,39.3206615625,-76.69158,39.340550095447526,-76.68238401277931,1.0
2014-06-03 12:30:00,1,0,142.0,39.29743,-76.61877,1.1492694688630536,5,15,39.30459725903614,-76.61643855421687,39.29873684383431,-76.620764340225,0.0
2015-01-09 10:30:00,1,0,242.0,39.28761,-76.53982,6.887064268388511,4,1,39.29802360946746,-76.54001,39.28954494317715,-76.57517554868063,1.0
2013-11-03 17:45:00,0,0,943.0,39.27294,-76.60081,4.046185776406181,6,1,39.27343201219512,-76.60768329268294,39.26376186739272,-76.62165641425072,1.0
2013-07-17 12:15:00,0,1,832.0,39.27482,-76.66856,5.828010079712898,5,21,39.2782211627907,-76.66671395348838,39.290191818719975,-76.67458630780087,1.0
2013-09-16 19:48:00,0,2,731.0,39.31183,-76.65194,3.164273409191352,7,32,39.314331216931215,-76.65309333333333,39.30325811828833,-76.6475476693083,1.0
2011-05-04 19:30:00,1,0,242.0,39.28761,-76.53982,6.887064268388511,7,1,39.29802360946746,-76.54001,39.28954494317715,-76.57517554868063,1.0
2012-06-21 18:00:00,0,0,913.0,39.23639,-76.61057,7.917685834468381,7,1,39.23384687782806,-76.60312712669683,39.26376186739272,-76.62165641425072,1.0
2015-10-20 19:30:00,1,0,513.0,39.32608,-76.60451,2.2796910772903822,7,15,39.32447768817204,-76.60684505376345,39.33824599049766,-76.6227167386246,1.0
2013-07-17 19:30:00,0,0,642.0,39.3343,-76.68214,6.456117657702784,7,3,39.33161255813953,-76.6803234883721,39.340550095447526,-76.68238401277931,1.0
2015-01-22 06:45:00,0,0,712.0,39.28884,-76.63382,2.5982416428876283,3,2,39.291015986842105,-76.63242460526314,39.30325811828833,-76.6475476693083,0.0
2013-05-20 01:30:00,1,1,922.0,39.24826,-76.62411,6.626119428842584,1,21,39.25916242352941,-76.62636630588236,39.26376186739272,-76.62165641425072,1.0
2012-09-22 08:30:00,0,0,511.0,39.31503,-76.62216,1.012640532504569,3,3,39.320077050359714,-76.62213014388489,39.33824599049766,-76.6227167386246,0.0
2012-02-24 14:00:00,1,0,833.0,39.28173,-76.6822,6.407372616764024,5,31,39.28240978947368,-76.68435731578948,39.290191818719975,-76.67458630780087,0.0
2013-04-16 15:30:00,1,0,943.0,39.26062,-76.60886,5.243054593410329,6,1,39.26106511627907,-76.60920790697675,39.26376186739272,-76.62165641425072,1.0
2011-07-16 09:00:00,1,0,423.0,39.35826,-76.56132,7.329862780663065,4,15,39.36313693009118,-76.56598340425532,39.33762689962533,-76.5666633515134,1.0
2015-02-02 23:00:00,0,0,931.0,39.28791,-76.62991,2.499653624813895,8,3,39.28707966666666,-76.63360373333335,39.26376186739272,-76.62165641425072,0.0
2012-04-21 16:40:00,0,0,523.0,39.36288,-76.61173,6.172233351878735,6,2,39.36286523809523,-76.61085333333332,39.33824599049766,-76.6227167386246,1.0
2012-01-22 04:50:00,1,1,913.0,39.22797,-76.60234,8.915815294859112,2,21,39.23384687782806,-76.60312712669683,39.26376186739272,-76.62165641425072,1.0
2013-09-04 11:30:00,1,0,943.0,39.26062,-76.60886,5.243054593410329,4,1,39.26106511627907,-76.60920790697675,39.26376186739272,-76.62165641425072,1.0
2011-08-28 14:10:00,1,1,942.0,39.27247,-76.61405,3.895059510017688,5,21,39.27156450450452,-76.61404621621621,39.26376186739272,-76.62165641425072,1.0
2013-08-21 03:10:00,1,0,512.0,39.3195,-76.61626,1.339401945346928,2,31,39.32345123809524,-76.6161583809524,39.33824599049766,-76.6227167386246,0.0
2011-11-19 22:45:00,0,0,922.0,39.24794,-76.62733,6.697637408223444,8,1,39.25916242352941,-76.62636630588236,39.26376186739272,-76.62165641425072,1.0
2011-08-08 18:15:00,1,1,913.0,39.2336,-76.59618,8.384674249906507,7,21,39.23384687782806,-76.60312712669683,39.26376186739272,-76.62165641425072,1.0
2015-06-01 01:00:00,0,0,224.0,39.29479,-76.5731,3.9208854614216806,1,2,39.29681269911504,-76.5732867699115,39.28954494317715,-76.57517554868063,1.0
2014-06-10 12:40:00,0,0,623.0,39.34612,-76.68806,7.572471802416328,5,3,39.34525546875,-76.687936328125,39.340550095447526,-76.68238401277931,1.0
2012-03-21 13:00:00,1,0,113.0,39.28623,-76.62092,2.4061520502817766,5,2,39.2864252173913,-76.61763200000001,39.29873684383431,-76.620764340225,1.0
2011-05-06 10:00:00,1,0,123.0,39.29959,-76.6298,1.5034085436116034,4,31,39.30179951612904,-76.63113618279569,39.29873684383431,-76.620764340225,0.0
2011-08-17 12:00:00,1,0,622.0,39.32904,-76.69237,7.02770104141046,5,15,39.33153779874214,-76.69892716981133,39.340550095447526,-76.68238401277931,1.0
2014-07-28 02:00:00,0,0,923.0,39.25615,-76.65171,6.499421926799768,1,3,39.25403085227273,-76.64770573863636,39.26376186739272,-76.62165641425072,0.0
2013-10-02 09:30:00,0,0,426.0,39.34121,-76.56344,5.850715622335338,4,1,39.3410475,-76.56501964285714,39.33762689962533,-76.5666633515134,1.0
2016-05-20 00:47:39,0,2,935.0,39.28458,-76.63802,3.1942584930625526,1,52,39.28378614814815,-76.6416268888889,39.26376186739272,-76.62165641425072,0.0
